entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,es_decline_pct
2018-08-03 00:00:00,2018-08-15 09:28:00,2827.75,2806.475,-0.8023649544691092,5,Trailing Stop Loss,long,0.8487313234904148,1.0432322517902826,0.406683759172477,0.9017770312085505,-0.5
2018-08-16 00:00:00,2018-09-21 01:44:00,2830.0,2943.2000000000003,3.9500000000000037,3,Take Profit,long,0.8215547703180226,0.8657243816254434,1.1307420494699683,2.544169611307412,-0.5
2018-09-21 15:59:00,2018-10-04 10:59:00,2932.25,2902.9275,-1.050000000000012,1,Fixed Percentage Stop Loss,long,-0.1619916446414904,-0.33250916531674113,-0.3580867934180221,-1.270355529030609,-0.5
2018-12-03 06:02:00,2018-12-03 23:17:00,2799.25,2771.2575,-1.0499999999999898,1,Fixed Percentage Stop Loss,long,-4.599446280253638,-5.805126373135661,-5.037063499151562,-8.779137268911319,-0.5
2018-12-04 00:00:00,2018-12-04 11:15:00,2768.25,2740.5675,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-3.5311117131761938,-4.750293506728076,-3.973629549354285,-7.757608597489385,-0.5
2019-01-15 10:24:00,2019-01-22 12:18:00,2599.0,2624.195,0.9194113120430891,5,Trailing Stop Loss,long,1.6352443247402926,3.001154290111585,1.539053482108499,3.3570604078491773,-0.5
2019-01-23 00:00:00,2019-02-08 10:02:00,2636.0,2682.995,1.7328148710166802,5,Trailing Stop Loss,long,0.49317147192715627,0.07587253414265138,1.9062974203338356,3.3383915022761723,-0.5
2019-02-09 00:00:00,2019-03-03 17:04:00,2708.0,2816.32,3.9500000000000037,3,Take Profit,long,0.48005908419497256,1.680206794682415,2.575701624815352,3.2219350073855235,-0.5
2019-03-04 10:04:00,2019-03-04 10:55:00,2805.25,2777.1974999999998,-1.050000000000012,1,Fixed Percentage Stop Loss,long,-1.4169860083771524,-1.8358435077087565,-0.4723286694590545,0.9892166473576269,-0.5
2019-03-05 00:00:00,2019-03-07 08:39:00,2792.0,2764.08,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.9491404011461313,-1.3699856733524363,0.0,1.4684813753581771,-0.5
2019-03-08 00:00:00,2019-03-10 00:00:00,2748.5,2753.75,0.14101327997088636,4,MA Crossover,long,1.746407131162453,2.4467891577223844,2.9652537747862473,2.146625432053839,-0.5
2019-03-10 00:00:00,2019-03-21 13:46:00,2753.75,2863.9,3.9500000000000037,3,Take Profit,long,1.5524285065819265,2.251475261007707,2.7689514298683715,1.9518837948252488,-0.5
2019-03-22 03:46:00,2019-03-22 10:35:00,2850.75,2822.2425,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.8418837148118863,-0.8331140927826053,-0.39463299131807794,1.6486889415066264,-0.5
2019-03-23 00:00:00,2019-04-16 02:51:00,2807.5,2919.8,3.9500000000000037,3,Take Profit,long,0.2671415850400649,-0.16028495102404783,1.13980409617096,3.2146037399821914,-0.5
2019-04-16 14:35:00,2019-05-02 10:47:00,2906.0,2902.025,-0.18678596008258602,5,Trailing Stop Loss,long,0.15485203028218208,0.15485203028218208,0.9549208534067377,0.6538196834136256,-0.5
2019-05-03 00:00:00,2019-05-05 17:13:00,2923.75,2894.5125,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-0.22231722958528932,-1.7785378366823479,-1.248396750748182,-2.1376656690893503,-0.5
2019-05-06 00:00:00,2019-05-07 12:15:00,2901.75,2879.485,-0.8172955974842744,5,Trailing Stop Loss,long,-0.29292668217455464,-1.4990953734815182,-2.7569570087016437,-1.57663478935125,-0.5
2019-05-08 00:00:00,2019-05-09 02:18:00,2893.25,2864.3175,-1.050000000000001,1,Fixed Percentage Stop Loss,long,-1.2097122612978461,-2.4712693337941793,-1.6417523546185087,-1.5899075434200327,-0.5
2019-05-10 14:16:00,2019-05-12 19:09:00,2882.25,2853.4275,-1.050000000000012,1,Fixed Percentage Stop Loss,long,-1.3270882123341154,-0.38164628328563044,-0.7285974499089298,-1.7781247289443969,-0.5
