entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,position_size,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2013-08-07 22:21:00,2013-08-12 04:02:00,1693.75,1676.8125,-1.050000000000001,1,1.0,Stop Loss,long,-0.5166051660516646,-0.32472324723247237,-2.0664206642066474,-2.1402214022140265,30
2013-08-22 14:38:00,2013-08-27 07:29:00,1657.0,1640.43,-1.050000000000001,1,1.0,Stop Loss,long,0.25648762824381777,-1.4936632468316224,-1.4936632468316224,-0.18105009052504784,30
2013-09-02 02:18:00,2013-09-07 02:18:00,1644.5,1654.0,0.52768318637883,8,1.0,Time Exit (Days),long,0.653694131954996,0.5776831863788301,2.2043174217087236,3.3292794162359307,30
2013-09-08 00:00:00,2013-09-13 00:00:00,1654.0,1679.25,1.4766021765417248,8,1.0,Time Exit (Days),long,1.012696493349452,2.0405078597339754,1.738210399032658,3.0078597339782354,30
2013-09-15 00:00:00,2013-09-20 00:00:00,1682.75,1715.5,1.8962189867776036,8,1.0,Time Exit (Days),long,0.3565592036844478,2.1690684890803835,1.2479572128955674,0.14856633486852733,30
2013-09-24 09:53:00,2013-09-29 09:53:00,1696.25,1685.25,-0.698489314664702,8,1.0,Time Exit (Days),long,-0.22107590272659738,-0.6484893146647019,-0.8843036109064117,-2.3286661753868843,30
2013-10-01 09:56:00,2013-10-02 00:00:00,1687.75,1686.75,-0.10925048141016687,4,1.0,MA Cross,long,-1.110946526440526,-0.3406902681084234,-1.8367649237150063,1.3923863131388048,30
2013-10-04 11:26:00,2013-10-07 17:11:00,1683.0,1666.17,-1.050000000000001,1,1.0,Stop Loss,long,-1.6042780748663055,0.14854426619133054,1.0101010101010166,3.208556149732611,30
2013-10-10 08:56:00,2013-10-15 08:56:00,1673.25,1699.5,1.5188032272523466,8,1.0,Time Exit (Days),long,1.5986851934857382,2.2710294337367376,3.809950694755715,4.810996563573888,30
2013-10-16 00:00:00,2013-10-21 00:00:00,1700.75,1739.0,2.1990077906805796,8,1.0,Time Exit (Days),long,1.793326473614587,2.1314126120828947,2.6752903130971672,3.101572835513733,30
