,Entry_time,Entry_price,Exit_time,Exit_price,Trade_duration_hours,Exit_reason,pnl_pct
2021-03-19 09:30:00,2021-03-17 09:40:00,3928.0,2021-03-19 09:30:00,3888.72,47.833333333333336,Stop Loss,-1.050000000000001
2021-03-24 14:50:00,2021-03-23 09:32:00,3927.0,2021-03-24 14:50:00,3887.73,29.3,Stop Loss,-1.050000000000001
2021-04-05 09:30:00,2021-03-26 09:39:00,3924.25,2021-04-05 09:30:00,4041.9775,239.85,Take Profit,2.950000000000003
2021-05-11 09:35:00,2021-05-06 09:37:00,4155.0,2021-05-11 09:35:00,4113.45,119.96666666666667,Stop Loss,-1.050000000000001
2021-06-18 15:00:00,2021-06-16 13:40:00,4192.5,2021-06-18 15:00:00,4150.575,49.333333333333336,Stop Loss,-1.050000000000001
2021-11-26 09:30:00,2021-11-24 09:31:00,4677.0,2021-11-26 09:30:00,4630.23,47.983333333333334,Stop Loss,-1.050000000000012
2021-12-28 09:35:00,2021-12-22 09:33:00,4653.75,2021-12-28 09:35:00,4793.3625,144.03333333333333,Take Profit,2.950000000000003
2022-01-05 14:45:00,2022-01-05 13:05:00,4755.0,2022-01-05 14:45:00,4707.45,1.6666666666666667,Stop Loss,-1.050000000000001
2022-01-13 14:10:00,2022-01-13 09:49:00,4711.75,2022-01-13 14:10:00,4664.6325,4.35,Stop Loss,-1.050000000000001
2023-07-18 10:45:00,2023-07-07 09:31:00,4442.75,2023-07-18 10:45:00,4576.0325,265.23333333333335,Take Profit,2.950000000000003
2023-08-03 09:30:00,2023-07-27 13:38:00,4569.25,2023-08-03 09:30:00,4523.5575,163.86666666666667,Stop Loss,-1.050000000000001
2023-08-04 14:50:00,2023-08-04 09:31:00,4539.25,2023-08-04 14:50:00,4493.8575,5.316666666666666,Stop Loss,-1.050000000000001
2023-08-10 11:25:00,2023-08-10 09:31:00,4536.0,2023-08-10 11:25:00,4490.64,1.9,Stop Loss,-1.0499999999999898
2023-08-16 11:20:00,2023-08-11 09:31:00,4485.5,2023-08-16 11:20:00,4440.6449999999995,121.81666666666666,Stop Loss,-1.050000000000012
2024-01-05 12:00:00,2023-12-21 10:55:00,4773.25,2024-01-05 12:00:00,4725.5175,361.0833333333333,Stop Loss,-1.050000000000001
2024-01-24 09:40:00,2024-01-11 10:20:00,4782.0,2024-01-24 09:40:00,4925.46,311.3333333333333,Take Profit,2.950000000000003
2024-02-09 13:40:00,2024-01-31 13:22:00,4897.5,2024-02-09 13:40:00,5044.425,216.3,Take Profit,2.950000000000003
2024-03-01 12:55:00,2024-02-14 09:50:00,4993.0,2024-03-01 12:55:00,5142.79,387.0833333333333,Take Profit,2.950000000000003
2024-03-20 14:30:00,2024-03-08 15:16:00,5134.5,2024-03-20 14:30:00,5288.535,287.23333333333335,Take Profit,2.950000000000003
2024-04-04 14:25:00,2024-04-04 13:15:00,5259.0,2024-04-04 14:25:00,5206.41,1.1666666666666667,Stop Loss,-1.050000000000001
2024-04-11 09:30:00,2024-04-09 09:31:00,5234.5,2024-04-11 09:30:00,5189.75,47.983333333333334,MA Cross,-0.9049049574935519
2024-04-15 12:15:00,2024-04-12 09:31:00,5200.0,2024-04-15 12:15:00,5148.0,74.73333333333333,Stop Loss,-1.050000000000001
2024-05-31 09:30:00,2024-05-23 13:00:00,5287.5,2024-05-31 09:30:00,5234.625,188.5,Stop Loss,-1.050000000000001
2024-06-12 09:30:00,2024-06-04 09:36:00,5286.0,2024-06-12 09:30:00,5444.58,191.9,Take Profit,2.950000000000003
2024-07-10 14:50:00,2024-06-28 14:30:00,5519.75,2024-07-10 14:50:00,5685.3425,288.3333333333333,Take Profit,2.950000000000003
2024-07-24 09:30:00,2024-07-23 09:31:00,5621.5,2024-07-24 09:30:00,5565.285,23.983333333333334,Stop Loss,-1.050000000000001
2024-07-24 14:50:00,2024-07-24 09:31:00,5519.5,2024-07-24 14:50:00,5464.305,5.316666666666666,Stop Loss,-1.0499999999999898
2024-07-30 11:50:00,2024-07-30 09:31:00,5503.75,2024-07-30 11:50:00,5448.7125,2.316666666666667,Stop Loss,-1.050000000000012
2024-08-01 11:35:00,2024-08-01 09:31:00,5548.0,2024-08-01 11:35:00,5492.5199999999995,2.066666666666667,Stop Loss,-1.050000000000012
2024-09-03 14:40:00,2024-09-03 09:31:00,5583.25,2024-09-03 14:40:00,5527.4175,5.15,Stop Loss,-1.050000000000012
2024-09-18 13:00:00,2024-09-12 09:33:00,5571.75,2024-09-18 13:00:00,5738.9025,147.45,Take Profit,2.950000000000003
2024-10-31 09:30:00,2024-10-30 15:12:00,5841.25,2024-10-31 09:30:00,5782.8375,18.3,Stop Loss,-1.050000000000001
2024-11-01 09:30:00,2024-10-31 09:36:00,5770.75,2024-11-01 09:30:00,5798.0,23.9,MA Cross,0.42220898496729276
2024-11-04 10:40:00,2024-11-01 09:36:00,5796.5,2024-11-04 10:40:00,5738.535,73.06666666666666,Stop Loss,-1.050000000000001
2024-11-07 09:30:00,2024-11-05 10:23:00,5795.0,2024-11-07 09:30:00,5968.85,47.11666666666667,Take Profit,2.950000000000003
2024-12-18 13:55:00,2024-12-17 09:31:00,6044.5,2024-12-18 13:55:00,5984.055,28.4,Stop Loss,-1.0499999999999898
