symbol,date,expected_minutes,actual_minutes,missing_minutes
ES,2011-01-07,390,345,45
ES,2011-01-10,390,374,16
ES,2011-01-11,390,374,16
ES,2011-01-12,390,374,16
ES,2011-01-13,390,375,15
ES,2011-01-14,390,345,45
ES,2011-01-17,390,60,330
ES,2011-01-18,390,375,15
ES,2011-01-19,390,375,15
ES,2011-01-20,390,374,16
ES,2011-01-21,390,346,44
ES,2011-01-24,390,374,16
ES,2011-01-25,390,375,15
ES,2011-01-26,390,375,15
ES,2011-01-27,390,375,15
ES,2011-01-28,390,345,45
ES,2011-01-31,390,375,15
ES,2011-02-01,390,374,16
ES,2011-02-02,390,373,17
ES,2011-02-03,390,375,15
ES,2011-02-04,390,345,45
ES,2011-02-07,390,376,14
ES,2011-02-08,390,375,15
ES,2011-02-09,390,375,15
ES,2011-02-10,390,375,15
ES,2011-02-11,390,345,45
ES,2011-02-14,390,375,15
ES,2011-02-15,390,376,14
ES,2011-02-16,390,375,15
ES,2011-02-17,390,375,15
ES,2011-02-18,390,345,45
ES,2011-02-21,390,60,330
ES,2011-02-22,390,375,15
ES,2011-02-23,390,375,15
ES,2011-02-24,390,375,15
ES,2011-02-25,390,345,45
ES,2011-02-28,390,375,15
ES,2011-03-01,390,376,14
ES,2011-03-02,390,375,15
ES,2011-03-03,390,375,15
ES,2011-03-04,390,345,45
ES,2011-03-07,390,375,15
ES,2011-03-08,390,375,15
ES,2011-03-09,390,375,15
ES,2011-03-10,390,375,15
ES,2011-03-11,390,345,45
ES,2011-03-14,390,375,15
ES,2011-03-15,390,375,15
ES,2011-03-16,390,376,14
ES,2011-03-17,390,375,15
ES,2011-03-18,390,346,44
ES,2011-03-21,390,375,15
ES,2011-03-22,390,375,15
ES,2011-03-23,390,375,15
ES,2011-03-24,390,375,15
ES,2011-03-25,390,345,45
ES,2011-03-28,390,375,15
ES,2011-03-29,390,375,15
ES,2011-03-30,390,375,15
ES,2011-03-31,390,375,15
ES,2011-04-01,390,346,44
ES,2011-04-04,390,374,16
ES,2011-04-05,390,375,15
ES,2011-04-06,390,375,15
ES,2011-04-07,390,375,15
ES,2011-04-08,390,345,45
ES,2011-04-11,390,375,15
ES,2011-04-12,390,375,15
ES,2011-04-13,390,375,15
ES,2011-04-14,390,375,15
ES,2011-04-15,390,345,45
ES,2011-04-18,390,375,15
ES,2011-04-19,390,376,14
ES,2011-04-20,390,375,15
ES,2011-04-21,390,345,45
ES,2011-04-25,390,375,15
ES,2011-04-26,390,375,15
ES,2011-04-27,390,374,16
ES,2011-04-28,390,372,18
ES,2011-04-29,390,345,45
ES,2011-05-02,390,375,15
ES,2011-05-03,390,375,15
ES,2011-05-04,390,374,16
ES,2011-05-05,390,375,15
ES,2011-05-06,390,345,45
ES,2011-05-09,390,375,15
ES,2011-05-10,390,375,15
ES,2011-05-11,390,375,15
ES,2011-05-12,390,374,16
ES,2011-05-13,390,345,45
ES,2011-05-16,390,375,15
ES,2011-05-17,390,374,16
ES,2011-05-18,390,373,17
ES,2011-05-19,390,374,16
ES,2011-05-20,390,345,45
ES,2011-05-23,390,374,16
ES,2011-05-24,390,375,15
ES,2011-05-25,390,376,14
ES,2011-05-26,390,375,15
ES,2011-05-27,390,345,45
ES,2011-05-30,390,57,333
ES,2011-05-31,390,375,15
ES,2011-06-01,390,375,15
ES,2011-06-02,390,375,15
ES,2011-06-03,390,346,44
ES,2011-06-06,390,374,16
ES,2011-06-07,390,374,16
ES,2011-06-08,390,375,15
ES,2011-06-09,390,375,15
ES,2011-06-10,390,345,45
ES,2011-06-13,390,375,15
ES,2011-06-14,390,375,15
ES,2011-06-15,390,375,15
ES,2011-06-16,390,375,15
ES,2011-06-17,390,345,45
ES,2011-06-20,390,374,16
ES,2011-06-21,390,375,15
ES,2011-06-22,390,375,15
ES,2011-06-23,390,375,15
ES,2011-06-24,390,345,45
ES,2011-06-27,390,375,15
ES,2011-06-28,390,375,15
ES,2011-06-29,390,374,16
ES,2011-06-30,390,375,15
ES,2011-07-01,390,345,45
ES,2011-07-04,390,60,330
ES,2011-07-05,390,374,16
ES,2011-07-06,390,375,15
ES,2011-07-07,390,375,15
ES,2011-07-08,390,345,45
ES,2011-07-11,390,375,15
ES,2011-07-12,390,375,15
ES,2011-07-13,390,375,15
ES,2011-07-14,390,375,15
ES,2011-07-15,390,345,45
ES,2011-07-18,390,375,15
ES,2011-07-19,390,375,15
ES,2011-07-20,390,375,15
ES,2011-07-21,390,375,15
ES,2011-07-22,390,345,45
ES,2011-07-25,390,375,15
ES,2011-07-26,390,376,14
ES,2011-07-27,390,375,15
ES,2011-07-28,390,375,15
ES,2011-07-29,390,345,45
ES,2011-08-01,390,375,15
ES,2011-08-02,390,375,15
ES,2011-08-03,390,376,14
ES,2011-08-04,390,375,15
ES,2011-08-05,390,345,45
ES,2011-08-08,390,375,15
ES,2011-08-09,390,375,15
ES,2011-08-10,390,375,15
ES,2011-08-11,390,375,15
ES,2011-08-12,390,345,45
ES,2011-08-15,390,375,15
ES,2011-08-16,390,371,19
ES,2011-08-17,390,375,15
ES,2011-08-18,390,375,15
ES,2011-08-19,390,345,45
ES,2011-08-22,390,375,15
ES,2011-08-23,390,375,15
ES,2011-08-24,390,375,15
ES,2011-08-25,390,373,17
ES,2011-08-26,390,345,45
ES,2011-08-29,390,375,15
ES,2011-08-30,390,375,15
ES,2011-08-31,390,375,15
ES,2011-09-01,390,375,15
ES,2011-09-02,390,345,45
ES,2011-09-05,390,60,330
ES,2011-09-06,390,375,15
ES,2011-09-07,390,375,15
ES,2011-09-08,390,375,15
ES,2011-09-09,390,345,45
ES,2011-09-12,390,375,15
ES,2011-09-13,390,375,15
ES,2011-09-14,390,375,15
ES,2011-09-15,390,375,15
ES,2011-09-16,390,345,45
ES,2011-09-19,390,375,15
ES,2011-09-20,390,375,15
ES,2011-09-21,390,375,15
ES,2011-09-22,390,375,15
ES,2011-09-23,390,345,45
ES,2011-09-26,390,375,15
ES,2011-09-27,390,375,15
ES,2011-09-28,390,375,15
ES,2011-09-29,390,375,15
ES,2011-09-30,390,345,45
ES,2011-10-03,390,375,15
ES,2011-10-04,390,375,15
ES,2011-10-05,390,375,15
ES,2011-10-06,390,375,15
ES,2011-10-07,390,346,44
ES,2011-10-10,390,375,15
ES,2011-10-11,390,375,15
ES,2011-10-12,390,376,14
ES,2011-10-13,390,375,15
ES,2011-10-14,390,346,44
ES,2011-10-17,390,375,15
ES,2011-10-18,390,375,15
ES,2011-10-19,390,375,15
ES,2011-10-20,390,375,15
ES,2011-10-21,390,345,45
ES,2011-10-24,390,375,15
ES,2011-10-25,390,375,15
ES,2011-10-26,390,375,15
ES,2011-10-27,390,375,15
ES,2011-10-28,390,345,45
ES,2011-10-31,390,375,15
ES,2011-11-01,390,375,15
ES,2011-11-02,390,375,15
ES,2011-11-03,390,375,15
ES,2011-11-04,390,345,45
ES,2011-11-07,390,375,15
ES,2011-11-08,390,375,15
ES,2011-11-09,390,375,15
ES,2011-11-10,390,375,15
ES,2011-11-11,390,345,45
ES,2011-11-14,390,375,15
ES,2011-11-15,390,375,15
ES,2011-11-16,390,376,14
ES,2011-11-17,390,375,15
ES,2011-11-18,390,345,45
ES,2011-11-21,390,375,15
ES,2011-11-22,390,376,14
ES,2011-11-23,390,376,14
ES,2011-11-24,390,60,330
ES,2011-11-25,390,165,225
ES,2011-11-28,390,376,14
ES,2011-11-29,390,375,15
ES,2011-11-30,390,375,15
ES,2011-12-01,390,375,15
ES,2011-12-02,390,345,45
ES,2011-12-05,390,375,15
ES,2011-12-06,390,375,15
ES,2011-12-07,390,375,15
ES,2011-12-08,390,375,15
ES,2011-12-09,390,345,45
ES,2011-12-12,390,374,16
ES,2011-12-13,390,375,15
ES,2011-12-14,390,375,15
ES,2011-12-15,390,374,16
ES,2011-12-16,390,345,45
ES,2011-12-19,390,375,15
ES,2011-12-20,390,375,15
ES,2011-12-21,390,375,15
ES,2011-12-22,390,375,15
ES,2011-12-23,390,345,45
ES,2011-12-27,390,375,15
ES,2011-12-28,390,376,14
ES,2011-12-29,390,374,16
ES,2011-12-30,390,345,45
ES,2012-01-03,390,375,15
ES,2012-01-04,390,374,16
ES,2012-01-05,390,375,15
ES,2012-01-06,390,345,45
ES,2012-01-09,390,375,15
ES,2012-01-10,390,376,14
ES,2012-01-11,390,372,18
ES,2012-01-12,390,375,15
ES,2012-01-13,390,345,45
ES,2012-01-16,390,60,330
ES,2012-01-17,390,375,15
ES,2012-01-18,390,375,15
ES,2012-01-19,390,375,15
ES,2012-01-20,390,345,45
ES,2012-01-23,390,376,14
ES,2012-01-24,390,375,15
ES,2012-01-25,390,375,15
ES,2012-01-26,390,376,14
ES,2012-01-27,390,345,45
ES,2012-01-30,390,375,15
ES,2012-01-31,390,375,15
ES,2012-02-01,390,375,15
ES,2012-02-02,390,374,16
ES,2012-02-03,390,345,45
ES,2012-02-06,390,376,14
ES,2012-02-07,390,374,16
ES,2012-02-08,390,375,15
ES,2012-02-09,390,374,16
ES,2012-02-10,390,345,45
ES,2012-02-13,390,376,14
ES,2012-02-14,390,376,14
ES,2012-02-15,390,376,14
ES,2012-02-16,390,375,15
ES,2012-02-17,390,345,45
ES,2012-02-20,390,60,330
ES,2012-02-21,390,375,15
ES,2012-02-22,390,375,15
ES,2012-02-23,390,375,15
ES,2012-02-24,390,345,45
ES,2012-02-27,390,375,15
ES,2012-02-28,390,375,15
ES,2012-02-29,390,375,15
ES,2012-03-01,390,375,15
ES,2012-03-02,390,345,45
ES,2012-03-05,390,374,16
ES,2012-03-06,390,375,15
ES,2012-03-07,390,374,16
ES,2012-03-08,390,375,15
ES,2012-03-09,390,345,45
ES,2012-03-12,390,375,15
ES,2012-03-13,390,375,15
ES,2012-03-14,390,374,16
ES,2012-03-15,390,375,15
ES,2012-03-16,390,345,45
ES,2012-03-19,390,375,15
ES,2012-03-20,390,375,15
ES,2012-03-21,390,374,16
ES,2012-03-22,390,376,14
ES,2012-03-23,390,345,45
ES,2012-03-26,390,375,15
ES,2012-03-27,390,375,15
ES,2012-03-28,390,374,16
ES,2012-03-29,390,373,17
ES,2012-03-30,390,345,45
ES,2012-04-02,390,375,15
ES,2012-04-03,390,375,15
ES,2012-04-04,390,376,14
ES,2012-04-05,390,375,15
ES,2012-04-09,390,376,14
ES,2012-04-10,390,375,15
ES,2012-04-11,390,375,15
ES,2012-04-12,390,375,15
ES,2012-04-13,390,345,45
ES,2012-04-16,390,374,16
ES,2012-04-17,390,375,15
ES,2012-04-18,390,374,16
ES,2012-04-19,390,375,15
ES,2012-04-20,390,346,44
ES,2012-04-23,390,375,15
ES,2012-04-24,390,375,15
ES,2012-04-25,390,375,15
ES,2012-04-26,390,375,15
ES,2012-04-27,390,346,44
ES,2012-04-30,390,375,15
ES,2012-05-01,390,375,15
ES,2012-05-02,390,374,16
ES,2012-05-03,390,375,15
ES,2012-05-04,390,345,45
ES,2012-05-07,390,375,15
ES,2012-05-08,390,373,17
ES,2012-05-09,390,375,15
ES,2012-05-10,390,375,15
ES,2012-05-11,390,345,45
ES,2012-05-14,390,375,15
ES,2012-05-15,390,376,14
ES,2012-05-16,390,376,14
ES,2012-05-17,390,375,15
ES,2012-05-18,390,346,44
ES,2012-05-21,390,376,14
ES,2012-05-22,390,375,15
ES,2012-05-23,390,375,15
ES,2012-05-24,390,375,15
ES,2012-05-25,390,346,44
ES,2012-05-28,390,60,330
ES,2012-05-29,390,375,15
ES,2012-05-30,390,375,15
ES,2012-05-31,390,376,14
ES,2012-06-01,390,345,45
ES,2012-06-04,390,375,15
ES,2012-06-05,390,375,15
ES,2012-06-06,390,376,14
ES,2012-06-07,390,375,15
ES,2012-06-08,390,345,45
ES,2012-06-11,390,376,14
ES,2012-06-12,390,375,15
ES,2012-06-13,390,375,15
ES,2012-06-14,390,375,15
ES,2012-06-15,390,345,45
ES,2012-06-18,390,375,15
ES,2012-06-19,390,375,15
ES,2012-06-20,390,375,15
ES,2012-06-21,390,375,15
ES,2012-06-22,390,346,44
ES,2012-06-25,390,375,15
ES,2012-06-26,390,376,14
ES,2012-06-27,390,376,14
ES,2012-06-28,390,376,14
ES,2012-06-29,390,345,45
ES,2012-07-02,390,375,15
ES,2012-07-03,390,196,194
ES,2012-07-04,390,60,330
ES,2012-07-05,390,375,15
ES,2012-07-06,390,345,45
ES,2012-07-09,390,375,15
ES,2012-07-10,390,375,15
ES,2012-07-11,390,375,15
ES,2012-07-12,390,375,15
ES,2012-07-13,390,345,45
ES,2012-07-16,390,375,15
ES,2012-07-17,390,375,15
ES,2012-07-18,390,375,15
ES,2012-07-19,390,375,15
ES,2012-07-20,390,345,45
ES,2012-07-23,390,375,15
ES,2012-07-24,390,375,15
ES,2012-07-25,390,375,15
ES,2012-07-26,390,375,15
ES,2012-07-27,390,345,45
ES,2012-07-30,390,373,17
ES,2012-07-31,390,375,15
ES,2012-08-01,390,375,15
ES,2012-08-02,390,375,15
ES,2012-08-03,390,345,45
ES,2012-08-06,390,375,15
ES,2012-08-07,390,375,15
ES,2012-08-08,390,376,14
ES,2012-08-09,390,375,15
ES,2012-08-10,390,345,45
ES,2012-08-13,390,375,15
ES,2012-08-14,390,376,14
ES,2012-08-15,390,375,15
ES,2012-08-16,390,375,15
ES,2012-08-17,390,346,44
ES,2012-08-20,390,374,16
ES,2012-08-21,390,376,14
ES,2012-08-22,390,376,14
ES,2012-08-23,390,376,14
ES,2012-08-24,390,345,45
ES,2012-08-27,390,374,16
ES,2012-08-28,390,375,15
ES,2012-08-29,390,375,15
ES,2012-08-30,390,376,14
ES,2012-08-31,390,346,44
ES,2012-09-03,390,60,330
ES,2012-09-04,390,376,14
ES,2012-09-05,390,375,15
ES,2012-09-06,390,376,14
ES,2012-09-07,390,346,44
ES,2012-09-10,390,375,15
ES,2012-09-11,390,376,14
ES,2012-09-12,390,375,15
ES,2012-09-13,390,375,15
ES,2012-09-14,390,345,45
ES,2012-09-17,390,373,17
ES,2012-09-18,390,375,15
ES,2012-09-19,390,375,15
ES,2012-09-20,390,375,15
ES,2012-09-21,390,346,44
ES,2012-09-24,390,375,15
ES,2012-09-25,390,375,15
ES,2012-09-26,390,375,15
ES,2012-09-27,390,375,15
ES,2012-09-28,390,345,45
ES,2012-10-01,390,376,14
ES,2012-10-02,390,375,15
ES,2012-10-03,390,376,14
ES,2012-10-04,390,375,15
ES,2012-10-05,390,346,44
ES,2012-10-08,390,375,15
ES,2012-10-09,390,376,14
ES,2012-10-10,390,375,15
ES,2012-10-11,390,375,15
ES,2012-10-12,390,345,45
ES,2012-10-15,390,374,16
ES,2012-10-16,390,375,15
ES,2012-10-17,390,375,15
ES,2012-10-18,390,375,15
ES,2012-10-19,390,345,45
ES,2012-10-22,390,375,15
ES,2012-10-23,390,376,14
ES,2012-10-24,390,375,15
ES,2012-10-25,390,375,15
ES,2012-10-26,390,345,45
ES,2012-10-31,390,375,15
ES,2012-11-01,390,375,15
ES,2012-11-02,390,345,45
ES,2012-11-05,390,375,15
ES,2012-11-06,390,375,15
ES,2012-11-07,390,375,15
ES,2012-11-08,390,375,15
ES,2012-11-09,390,345,45
ES,2012-11-12,390,375,15
ES,2012-11-13,390,375,15
ES,2012-11-14,390,375,15
ES,2012-11-15,390,375,15
ES,2012-11-16,390,346,44
ES,2012-11-19,390,375,15
ES,2012-11-20,390,375,15
ES,2012-11-21,390,374,16
ES,2012-11-22,390,60,330
ES,2012-11-23,390,165,225
ES,2012-11-26,390,374,16
ES,2012-11-27,390,374,16
ES,2012-11-28,390,374,16
ES,2012-11-29,390,375,15
ES,2012-11-30,390,375,15
ES,2012-12-03,390,375,15
ES,2012-12-04,390,376,14
ES,2012-12-05,390,375,15
ES,2012-12-06,390,375,15
ES,2012-12-07,390,375,15
ES,2012-12-10,390,375,15
ES,2012-12-11,390,376,14
ES,2012-12-12,390,375,15
ES,2012-12-13,390,375,15
ES,2012-12-14,390,375,15
ES,2012-12-17,390,375,15
ES,2012-12-18,390,376,14
ES,2012-12-19,390,375,15
ES,2012-12-20,390,375,15
ES,2012-12-21,390,375,15
ES,2012-12-24,390,165,225
ES,2012-12-26,390,375,15
ES,2012-12-27,390,376,14
ES,2012-12-28,390,375,15
ES,2012-12-31,390,375,15
ES,2013-01-02,390,375,15
ES,2013-01-03,390,375,15
ES,2013-01-04,390,374,16
ES,2013-01-07,390,374,16
ES,2013-01-08,390,375,15
ES,2013-01-09,390,374,16
ES,2013-01-10,390,375,15
ES,2013-01-11,390,375,15
ES,2013-01-14,390,375,15
ES,2013-01-15,390,374,16
ES,2013-01-16,390,375,15
ES,2013-01-17,390,375,15
ES,2013-01-18,390,375,15
ES,2013-01-21,390,60,330
ES,2013-01-22,390,375,15
ES,2013-01-23,390,375,15
ES,2013-01-24,390,375,15
ES,2013-01-25,390,374,16
ES,2013-01-28,390,375,15
ES,2013-01-29,390,375,15
ES,2013-01-30,390,375,15
ES,2013-01-31,390,375,15
ES,2013-02-01,390,375,15
ES,2013-02-04,390,374,16
ES,2013-02-05,390,375,15
ES,2013-02-06,390,375,15
ES,2013-02-07,390,375,15
ES,2013-02-08,390,375,15
ES,2013-02-11,390,375,15
ES,2013-02-12,390,376,14
ES,2013-02-13,390,375,15
ES,2013-02-14,390,375,15
ES,2013-02-15,390,374,16
ES,2013-02-18,390,58,332
ES,2013-02-19,390,375,15
ES,2013-02-20,390,375,15
ES,2013-02-21,390,375,15
ES,2013-02-22,390,375,15
ES,2013-02-25,390,375,15
ES,2013-02-26,390,375,15
ES,2013-02-27,390,375,15
ES,2013-02-28,390,376,14
ES,2013-03-01,390,375,15
ES,2013-03-04,390,375,15
ES,2013-03-05,390,375,15
ES,2013-03-06,390,375,15
ES,2013-03-07,390,374,16
ES,2013-03-08,390,374,16
ES,2013-03-11,390,375,15
ES,2013-03-12,390,375,15
ES,2013-03-13,390,375,15
ES,2013-03-14,390,375,15
ES,2013-03-15,390,375,15
ES,2013-03-18,390,375,15
ES,2013-03-19,390,375,15
ES,2013-03-20,390,375,15
ES,2013-03-21,390,375,15
ES,2013-03-22,390,375,15
ES,2013-03-25,390,375,15
ES,2013-03-26,390,375,15
ES,2013-03-27,390,375,15
ES,2013-03-28,390,375,15
ES,2013-04-01,390,375,15
