event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2015-10-15,CPI,worse,0.00884,-0.1,108.84,-0.6825414134604912,-0.4716298429397803,1.485277599486512,0.4570474242289402,0.027052151629769483
2015-10-28,FOMC,inline,0.12,0.14,-14.285714285714295,-0.1917933643351133,-0.25492837381770883,0.5589951556960182,-0.044968545937285054,-0.48099702786910115
2015-11-17,CPI,worse,0.12762,0.1,27.620000000000005,1.4903313824738973,1.4903313824738973,-0.13393792099123392,1.6162384658902518,-0.11278664606110267
2015-12-15,CPI,worse,0.43632,0.4,9.079999999999991,0.475558669628362,0.475558669628362,1.0618514891638675,1.4514952946300674,-1.5040495497016582
2015-12-16,FOMC,inline,0.15,0.12,25.0,0.475558669628362,1.0618514891638675,1.4167535015239041,-1.5040495497016582,-1.7797236873680844
2016-01-20,CPI,better,0.63872,0.8,-20.16000000000001,0.05318215419634065,0.05318215419634065,-1.1693854879261,0.5195419855539507,2.0283682630725774
2016-01-27,FOMC,better,0.38,1.17,-67.52136752136751,-1.5637946405160252,1.4144309246276299,-1.5183213213527336,0.5528558910220527,2.476021464486422
2016-02-19,CPI,better,1.2375,1.3,-4.807692307692308,1.648044398020665,-0.4665718645228911,-0.00260711324778784,1.445421268341529,1.445421268341529
2016-03-16,FOMC,inline,0.37,0.38,-2.6315789473684235,-0.12610091039911842,-0.18369610425620353,0.4135977056472173,0.6595238799932845,0.44055885797735783
2016-03-16,CPI,better,0.84728,0.8999999999999999,-5.857777777777764,-0.12610091039911842,-0.18369610425620353,0.5600392870784177,0.6595238799932845,0.44055885797735783
2016-04-14,CPI,better,0.89162,1.1,-18.94363636363636,0.9657246117757756,1.0045059683466695,0.017287578874580767,-0.098426141983321,0.6540973600611455
2016-04-27,FOMC,inline,0.37,0.37,0.0,-0.18120272712495167,0.18680039659162428,0.4911482989673477,-0.9230842660430061,-0.506308380824827
2016-05-17,CPI,worse,1.17263,1.1,6.60272727272729,0.9796688181920254,0.9796688181920254,-0.9411320681679491,0.020515726281145064,-0.37067243593813526
2016-06-15,FOMC,inline,0.37,0.37,0.0,-0.8115186992800894,-0.17988898829277566,-0.6531998158379348,0.31281679942070095,-0.3257971684039296
